	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DY2_FDME210438600-1b	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
LN.DD.2021.06.15.bin.1	16.98704898	18.53230936	7.785590802	7.067386051	6.78402793	9.527949659	26.94159522	2.523338177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN.DD.2021.06.15.bin.10	12.24731671	0	4.685167095	3.606293208	3.345242334	5.424886144	31.78598444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.385197616	5.066963842	5.786892519	4.03072595	17.9136744	7.119649073	4.291773306	3.313337413	4.845689551	3.349050078	10.89352132	15.47277897	11.2030032	5.610884303	3.223359479	5.490194544	2.910922944	2.92044568	3.571130791	4.766642648	3.882176307	3.488125715	2.80016672	5.149093933	1.303662121	0	0.87198651	0	0	0	0	0	0.845476453	0	1.176442813	1.673828529	0.956594204	0	0	0	4.425822442	2.466501246	0	0	3.128266157	1.034195714	0	0	0	0.937832412	2.276007648	1.575191515	1.616319063	4.028984328	8.370338762	6.025356394	1.671133105	4.460818405	3.315789704	3.525035644	4.717143744	0	1.019214711	0	1.125203002	1.417171909	2.398785929	1.115571085	1.351238811	0.858937635	0	0	1.504793034	0.918313027	1.301343103	0	1.49591529	0	0	0	0.81259874	0	1.135072584	0	0.876751397	0	0	0.972209525	0	0	0	1.701102825	0	2.300881114	0	0	0	0	0	0	1.044574233	0	0	0	0	0
LN.DD.2021.06.15.bin.2	49.90259242	0	16.46468566	8.294731761	8.139704182	9.067520623	55.64899041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN.DD.2021.06.15.bin.6	54.87980837	7.807182709	42.10690708	27.52607571	44.66219644	19.42653708	23.06945999	14.57908663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942548652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN.DD.2021.06.15.bin.8	24.3678679	17.91397714	11.82975306	39.25455363	18.01184934	14.75790612	31.44762225	18.09034075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN.DD.2021.06.15.bin.9	9.603728924	9.37306653	5.161149954	6.73065197	7.589334939	11.08765411	12.26703249	12.64350656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD.DY.2021.06.15.bin.1	0	0	0	0	0	0	0	0	4.466728753	30.22570978	4.749230901	4.009756716	33.34327065	4.076197346	3.715551314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD.DY.2021.06.15.bin.6	0	0	0	0	0	0	0	0	5.693106012	6.619487906	10.83886519	6.467192907	1.489444021	6.774973206	8.056335861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD.QD.2020.06.15.bin.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.873933615	3.270049561	1.486427769	0	0	0	0	0	1.107858349	0	0	0	1.876232836	1.185052851	3.56891602	4.158177201	1.994124764	1.434595648	1.277067785	0	1.478865167	0	1.834727306	0	0	0	0.845943631	0	0	0	0	0	0	0.945407223	0	3.126632539	0	0	3.871969083	6.113308509	2.128408905	0	0	0	0	0	0	0	0	0	0	0	0.876172575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD.QD.2020.06.15.bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.332431043	2.91348931	2.670973122	1.252810332	0	3.40822647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.060298588	2.710793145	2.408774782	2.506383645	4.911078179	2.369420401	3.345822696	2.181841686	2.412256352	1.479223606	3.35059851	4.928657441	4.466011299	2.345747878	1.401480054	2.138403843	1.397893039	1.23660529	1.843004839	2.219566057	1.716570242	1.541198324	1.273901307	1.526837308	0	0	2.169646975	1.226862823	1.171726037	1.118462212	1.358401956	1.131418823	1.588495416	1.072119994	1.795243092	1.748179855	4.391166489	1.402071145	1.320783393	2.453647354	4.356655289	3.415846834	1.631302053	0	2.243243124	1.136675403	0	0	0.999378443	0.970156552	0.951811675	1.209434935	2.538617048	4.286446414	4.109209138	2.591631956	1.639728879	2.401820142	2.870918518	2.152158603	1.863219789	1.008618017	3.076810606	2.062863997	1.774208058	1.930546879	4.849200099	4.297513085	1.866233672	1.690492939	2.136431509	1.907789567	3.869869207	2.190910546	3.7909352	3.388146305	4.484334632	3.376787457	2.95793547	2.059271112	2.758599747	2.814627477	3.502304055	2.393086121	1.993148576	1.998497589	2.780048759	3.415789989	1.414544995	3.2764996	1.130081801	4.563431716	1.90878668	2.867704896	2.415527815	2.895248328	1.199327921	1.205026484	1.973736433	1.197653566	1.785026764	1.176903964	0.968647326	2.215888	2.059097263	1.393525666
