,sample1,sample2,Heterogeneous.Selection,Homogeneous.Selection,Dispersal.Limitation,Homogenizing.Dispersal,Drift.and.Others
55,ZH5_FDSW220008788-1r,DD1_FDSW220008388-1r,0,0,0.366258235,0,0.633741765
56,ZH7_FDSW220008790-1r,DD1_FDSW220008388-1r,0,0,0,0,1
57,ZH9_FDSW220008792-2r,DD1_FDSW220008388-1r,0,0,0,0,1
58,ZH11_FDSW220008794-2r,DD1_FDSW220008388-1r,0,0,0,0,1
59,ZH13_FDSW220008796-2r,DD1_FDSW220008388-1r,0,0,0.310572826,0,0.689427174
60,ZH15_FDSW220008798-2r,DD1_FDSW220008388-1r,0,0,0,0,1
61,C1_FDSW202534412-1r,DD1_FDSW220008388-1r,0,0.016511522,0.498242261,0,0.485246217
62,E5_FDSW202534388-1r,DD1_FDSW220008388-1r,0,0.014350664,0.373741581,0,0.611907755
63,E10_FDSW202534389-1r,DD1_FDSW220008388-1r,0,0.016675942,0.376261414,0,0.607062644
64,E20_FDSW202534390-1r,DD1_FDSW220008388-1r,0,0.015989535,0.523681312,0,0.460329153
65,E50_FDSW202534391-1r,DD1_FDSW220008388-1r,0,0.01600637,0.567281411,0.136500792,0.280211426
66,E100_FDSW202534392-1r,DD1_FDSW220008388-1r,0,0.026247017,0.36255378,0,0.611199202
67,E150_FDSW202534393-1r,DD1_FDSW220008388-1r,0,0.021011139,0.361773543,0,0.617215319
68,N5_FDSW202534406-1r,DD1_FDSW220008388-1r,0.14359601,0.014792794,0.489206709,0,0.352404487
69,N10_FDSW202534407-1r,DD1_FDSW220008388-1r,0,0.016261947,0.526411019,0,0.457327033
70,N20_FDSW202534408-1r,DD1_FDSW220008388-1r,0,0.016998179,0.356932911,0,0.62606891
71,N50_FDSW202534409-1r,DD1_FDSW220008388-1r,0,0.021688865,0.387636508,0,0.590674627
72,N100_FDSW202534410-1r,DD1_FDSW220008388-1r,0,0.019851651,0.421658126,0.11031035,0.448179873
73,N150_FDSW202534411-1r,DD1_FDSW220008388-1r,0,0.015827573,0.430678939,0,0.553493488
74,S5_FDSW202534394-1r,DD1_FDSW220008388-1r,0,0.014847853,0.376338292,0,0.608813855
75,S10_FDSW202534395-1r,DD1_FDSW220008388-1r,0,0.015336537,0.349985798,0,0.634677665
76,S20_FDSW202534396-1r,DD1_FDSW220008388-1r,0,0.013127556,0.414017039,0,0.572855405
77,S50_FDSW202534397-1r,DD1_FDSW220008388-1r,0,0.013549643,0.244301432,0,0.742148925
78,S100_FDSW202534398-1r,DD1_FDSW220008388-1r,0,0.013171531,0.357473884,0,0.629354585
79,S150_FDSW202534399-1r,DD1_FDSW220008388-1r,0,0.019393476,0.370679623,0,0.609926902
80,W5_FDSW202534400-1r,DD1_FDSW220008388-1r,0.147269266,0.013626329,0.21374405,0,0.625360356
81,W10_FDSW202534401-1r,DD1_FDSW220008388-1r,0,0.014122341,0.365187375,0,0.620690284
82,W20_FDSW202534402-1r,DD1_FDSW220008388-1r,0,0.015588182,0.376999963,0,0.607411855
83,W50_FDSW202534403-1r,DD1_FDSW220008388-1r,0,0.015953848,0.368048841,0,0.615997311
84,W100_FDSW202534404-1r,DD1_FDSW220008388-1r,0.149085007,0.010619222,0.33152968,0,0.508766091
85,W150_FDSW202534405-1r,DD1_FDSW220008388-1r,0.160640786,0,0.160283936,0.006844942,0.672230336
86,CXD_0801_FDSW210423161-1r,DD1_FDSW220008388-1r,0,0,0.301365991,0,0.698634009
87,CXD_0802_FDSW210423162-1r,DD1_FDSW220008388-1r,0,0.018371884,0.143743944,0,0.837884172
88,CXD_0803_FDSW210423163-1r,DD1_FDSW220008388-1r,0,0,0.417341639,0,0.582658361
89,CXD_0804_FDSW210423164-1r,DD1_FDSW220008388-1r,0,0,0.392588407,0,0.607411593
90,CXD_0805_FDSW210423165-1r,DD1_FDSW220008388-1r,0,0,0.405657568,0,0.594342432
91,CXD_0807_FDSW210423167-1r,DD1_FDSW220008388-1r,0,0,0.286699669,0,0.713300331
92,CXD_1001_FDSW210423173-1r,DD1_FDSW220008388-1r,0,0,0.309578667,0,0.690421333
93,CXD_1003_FDSW210423175-1r,DD1_FDSW220008388-1r,0,0,0.19053242,0,0.80946758
94,CXD_1004_FDSW210423176-1r,DD1_FDSW220008388-1r,0,0,0.387277498,0,0.612722502
95,CXD_1007_FDSW210423179-1r,DD1_FDSW220008388-1r,0,0,0.333932707,0,0.666067293
96,CXD_1009_FDSW210423181-1r,DD1_FDSW220008388-1r,0,0,0.319786853,0,0.680213147
97,CXD_1015_FDSW210423187-1r,DD1_FDSW220008388-1r,0.13625203,0,0.32466428,0,0.539083691
98,CXD_1201_FDSW210423188-1r,DD1_FDSW220008388-1r,0,0,0.50888498,0,0.49111502
99,CXD_1202_FDSW210423189-1r,DD1_FDSW220008388-1r,0,0,0.379270916,0,0.620729084
100,CXD_1203_FDSW210423190-1r,DD1_FDSW220008388-1r,0.140316129,0.016357089,0.224996664,0,0.618330118
101,CXD_1213_FDSW210423200-1r,DD1_FDSW220008388-1r,0.129034793,0.016691273,0.356928957,0,0.497344977
102,CXD_1214_FDSW210423201-1r,DD1_FDSW220008388-1r,0.126094923,0.010686423,0.328338895,0,0.534879759
103,CXD_1215_FDSW210423202-1r,DD1_FDSW220008388-1r,0,0.013359812,0.380619255,0,0.606020934
104,CXD_0204_FDSW210423206-1r,DD1_FDSW220008388-1r,0,0,0.499337652,0,0.500662348
105,CXD_0209_FDSW210423211-1r,DD1_FDSW220008388-1r,0,0.014350961,0.47821607,0,0.507432969
106,CXD_0210_FDSW210423212-1r,DD1_FDSW220008388-1r,0,0.015874581,0.45325892,0,0.5308665
107,CXD_0213_FDSW210423215-1r,DD1_FDSW220008388-1r,0.3019096,0,0.330121955,0,0.367968445
108,CXD_0214_FDSW210423216-1r,DD1_FDSW220008388-1r,0.350238395,0,0.314530515,0,0.335231089
109,CXD_0215_FDSW210423217-1r,DD1_FDSW220008388-1r,0.266424662,0.013679435,0.271167162,0,0.448728741
110,CXD_1401_FDSW210423218-1r,DD1_FDSW220008388-1r,0.155654881,0.023144651,0.174621802,0,0.646578666
111,CXD_1402_FDSW210423219-1r,DD1_FDSW220008388-1r,0,0.011005834,0.623219083,0,0.365775082
112,CXD_1408_FDSW210423225-1r,DD1_FDSW220008388-1r,0,0.032825995,0.295787868,0,0.671386137
113,CXD_1412_FDSW210423229-1r,DD1_FDSW220008388-1r,0,0.011208225,0.177730407,0,0.811061369
114,CXD_1414_FDSW210423231-1r,DD1_FDSW220008388-1r,0.155681983,0,0.331375954,0,0.512942063
115,CXD_1415_FDSW210423232-1r,DD1_FDSW220008388-1r,0,0.013276875,0.499960651,0,0.486762474
116,CXD_1604_FDSW210423236-1r,DD1_FDSW220008388-1r,0,0.011398323,0.374354064,0,0.614247613
117,CXD_1609_FDSW210423241-1r,DD1_FDSW220008388-1r,0,0.01031898,0.282652828,0,0.707028193
118,CXD_1610_FDSW210423242-1r,DD1_FDSW220008388-1r,0.145697576,0.031213787,0.289191529,0,0.533897108
119,CXD_1611_FDSW210423243-1r,DD1_FDSW220008388-1r,0,0.034573558,0.291604696,0.110359309,0.563462437
120,CXD_1612_FDSW210423244-1r,DD1_FDSW220008388-1r,0,0.024467214,0.156759086,0.116580435,0.702193266
121,CXD_1613_FDSW210423245-1r,DD1_FDSW220008388-1r,0.172786819,0.026945106,0,0,0.800268075
122,A1-20-normal,DD1_FDSW220008388-1r,0,0.023087068,0.294077562,0,0.68283537
123,A3-20-normal,DD1_FDSW220008388-1r,0,0.025652914,0.168111954,0,0.806235132
124,A5-20-normal,DD1_FDSW220008388-1r,0,0.041165895,0.266923791,0,0.691910314
125,B1-20-normal,DD1_FDSW220008388-1r,0,0.036587033,0.16963721,0,0.793775757
126,B3-20-normal,DD1_FDSW220008388-1r,0,0.032538524,0.279105142,0,0.688356334
127,B5-20-normal,DD1_FDSW220008388-1r,0,0.023274612,0.457574771,0,0.519150617
128,C1-20-normal,DD1_FDSW220008388-1r,0,0.025431753,0.15631462,0,0.818253627
129,C3-20-normal,DD1_FDSW220008388-1r,0,0.033763574,0.1677968,0,0.798439626
130,C5-20-normal,DD1_FDSW220008388-1r,0,0.034116537,0.168306214,0,0.797577248
131,A1-40-normal,DD1_FDSW220008388-1r,0,0.026546634,0.299364948,0,0.674088418
132,A3-40-normal,DD1_FDSW220008388-1r,0,0.040188185,0.177690677,0,0.782121138
133,A5-40-normal,DD1_FDSW220008388-1r,0,0.023327824,0.459894547,0,0.51677763
134,B1-40-normal,DD1_FDSW220008388-1r,0,0.031754194,0.176172358,0,0.792073448
135,B3-40-normal,DD1_FDSW220008388-1r,0,0.020842751,0.462392161,0,0.516765088
136,B5-40-normal,DD1_FDSW220008388-1r,0.136319201,0.022496464,0.307302978,0,0.533881357
137,C1-40-normal,DD1_FDSW220008388-1r,0,0.021417866,0.452800131,0,0.525782003
138,C3-40-normal,DD1_FDSW220008388-1r,0.131314841,0.016988591,0.170818456,0,0.680878112
139,C5-40-normal,DD1_FDSW220008388-1r,0,0.020221341,0.168005732,0,0.811772927
140,A1-60-normal,DD1_FDSW220008388-1r,0.151980748,0.030863809,0.315115782,0.045840427,0.456199233
141,A3-60-normal,DD1_FDSW220008388-1r,0.133611857,0.027930903,0.311708252,0.041356744,0.485392244
142,A5-60-normal,DD1_FDSW220008388-1r,0.135814235,0.024490517,0.306837296,0.012521359,0.520336593
143,B1-60-normal,DD1_FDSW220008388-1r,0.149647834,0.025980698,0.310260481,0.050218919,0.463892068
144,B3-60-normal,DD1_FDSW220008388-1r,0.138047509,0.02443643,0.170622244,0,0.666893817
145,B5-60-normal,DD1_FDSW220008388-1r,0,0.036528746,0.168204489,0,0.795266765
146,C1-60-normal,DD1_FDSW220008388-1r,0.153563456,0.022821051,0.17324318,0,0.650372314
147,C3-60-normal,DD1_FDSW220008388-1r,0.152605956,0.020341029,0.171785872,0,0.655267143
148,C5-60-normal,DD1_FDSW220008388-1r,0,0.020109655,0.164043954,0.050535896,0.765310494
149,A1-80-normal,DD1_FDSW220008388-1r,0.134847933,0.030528165,0.325806352,0,0.50881755
150,A3-80-normal,DD1_FDSW220008388-1r,0.14043533,0.027969505,0.314954126,0,0.516641039
151,A5-80-normal,DD1_FDSW220008388-1r,0,0.037332852,0.315729624,0.044258995,0.602678529
152,B1-80-normal,DD1_FDSW220008388-1r,0,0.020523721,0.459133754,0.042860185,0.47748234
153,B3-80-normal,DD1_FDSW220008388-1r,0.138995727,0.023360871,0.315656057,0.041264861,0.480722483
154,B5-80-normal,DD1_FDSW220008388-1r,0.128551118,0.019903175,0.314448018,0.04453763,0.492560059
155,C1-80-normal,DD1_FDSW220008388-1r,0.137445779,0.027186844,0.3247589,0,0.510608477
156,C3-80-normal,DD1_FDSW220008388-1r,0.144084882,0.021520975,0.310426235,0,0.523967907
157,C5-80-normal,DD1_FDSW220008388-1r,0.149852365,0.037241217,0.177626627,0,0.63527979
158,A1-100-normal,DD1_FDSW220008388-1r,0,0.030761678,0.320057384,0,0.649180937
159,A3-100-normal,DD1_FDSW220008388-1r,0.16473455,0.033676154,0.319344745,0,0.482244551
160,A5-100-normal,DD1_FDSW220008388-1r,0,0.041574532,0.318798498,0,0.63962697
161,B1-100-normal,DD1_FDSW220008388-1r,0,0.028669072,0.173704456,0,0.797626471
162,B3-100-normal,DD1_FDSW220008388-1r,0,0.039389807,0.173243991,0,0.787366201
163,B5-100-normal,DD1_FDSW220008388-1r,0,0.028945313,0.18019775,0,0.790856937
164,C1-100-normal,DD1_FDSW220008388-1r,0,0.042869932,0.153507961,0,0.803622107
165,C3-100-normal,DD1_FDSW220008388-1r,0.151108934,0.041725911,0.181743314,0,0.625421841
166,C5-100-normal,DD1_FDSW220008388-1r,0,0.026182308,0.175775306,0,0.798042387
167,DD5_FDSW220008392-2r,DD3_FDSW220008390-2r,0,0.384523915,0.208085419,0,0.407390666
168,DD7_FDSW220008394-1r,DD3_FDSW220008390-2r,0,0.045023716,0,0,0.954976284
169,DD9_FDSW220008396-1r,DD3_FDSW220008390-2r,0.052721591,0.347603804,0,0,0.599674604
170,DD11_FDSW220008398-1r,DD3_FDSW220008390-2r,0,0.248027968,0,0,0.751972032
171,DD13_FDSW220008400-2r,DD3_FDSW220008390-2r,0.288485112,0.153372446,0,0,0.558142442
172,DD15_FDSW220008402-2r,DD3_FDSW220008390-2r,0.489831022,0.306224114,0,0,0.203944864
173,DY2_FDME210438600-1b,DD3_FDSW220008390-2r,0,0,0.219822903,0,0.780177097
174,DY6_FDME210438604-1r,DD3_FDSW220008390-2r,0,0,0.410171633,0,0.589828367
175,DY7_FDME210438605-1r,DD3_FDSW220008390-2r,0,0,0.5,0,0.5
176,DY10_FDME210438608-1r,DD3_FDSW220008390-2r,0,0,0.191360886,0,0.808639114
177,DY11_FDME210438609-1r,DD3_FDSW220008390-2r,0,0,0.478620041,0,0.521379959
178,DY13_FDME210438611-1b,DD3_FDSW220008390-2r,0,0,0.187822932,0,0.812177068
179,DY15_FDME210438613-1r,DD3_FDSW220008390-2r,0,0,0.5,0,0.5
180,LYG1_FDME210455382-1r,DD3_FDSW220008390-2r,0,0,0.277279441,0,0.722720559
181,LYG3_FDME210455384-1r,DD3_FDSW220008390-2r,0,0,0.463304447,0,0.536695553
182,LYG5_FDME210455386-1r,DD3_FDSW220008390-2r,0,0,0,0,1
183,LYG6_FDME210455387-1r,DD3_FDSW220008390-2r,0,0,0,0,1
184,LYG7_FDME210455388-1r,DD3_FDSW220008390-2r,0,0.225213252,0,0,0.774786748
185,LYG11_FDME210455392-2r,DD3_FDSW220008390-2r,0,0,0.262516557,0,0.737483443
186,LYG13_FDME210455394-1a,DD3_FDSW220008390-2r,0,0.527094676,0,0,0.472905324
187,NB1_FDME210455352-1r,DD3_FDSW220008390-2r,0,0,0.67211765,0,0.32788235
188,NB2_FDME210455353-1r,DD3_FDSW220008390-2r,0,0,0.683467116,0,0.316532884
189,NB4_FDME210455355-1r,DD3_FDSW220008390-2r,0,0,0.471109845,0,0.528890155
190,NB6_FDME210455357-1r,DD3_FDSW220008390-2r,0,0,0.476181567,0,0.523818433
191,NB7_FDME210455358-1r,DD3_FDSW220008390-2r,0,0,0.692010481,0,0.307989519
192,NB11_FDME210455362-1b,DD3_FDSW220008390-2r,0,0,0.647326082,0,0.352673918
193,NB12_FDME210455363-1r,DD3_FDSW220008390-2r,0,0,0.675624263,0,0.324375737
194,NB15_FDME210455366-1r,DD3_FDSW220008390-2r,0,0,0.705043853,0,0.294956147
195,SY3_FDME210455399-2a,DD3_FDSW220008390-2r,0,0.099568004,0.446637341,0,0.453794655
196,SY7_FDME210455403-2a,DD3_FDSW220008390-2r,0,0,0,0,1
197,SY9_FDME210455405-2a,DD3_FDSW220008390-2r,0,0,0,0,1
198,SY11_FDME210455407-1r,DD3_FDSW220008390-2r,0,0,0,0,1
199,SY12_FDME210455408-1r,DD3_FDSW220008390-2r,0,0,0,0,1
200,SY13_FDME210455409-2a,DD3_FDSW220008390-2r,0,0,0.5,0,0.5
201,SY15_FDME210455411-2a,DD3_FDSW220008390-2r,0,0,0,0,1
202,WZ1_L1,DD3_FDSW220008390-2r,0.23309443,0,0.278032747,0,0.488872822
203,WZ3_L1,DD3_FDSW220008390-2r,0.26013402,0,0.234858129,0,0.505007851
204,WZ5_L1,DD3_FDSW220008390-2r,0,0,0.536805054,0,0.463194946
205,WZ7_FDME210455463-1r,DD3_FDSW220008390-2r,0,0,0.496956069,0,0.503043931
206,WZ10_L1,DD3_FDSW220008390-2r,0,0,0.568283627,0,0.431716373
207,WZ11_L1,DD3_FDSW220008390-2r,0.221041085,0,0.575584228,0,0.203374688
208,WZ14_L1,DD3_FDSW220008390-2r,0.266478106,0,0.236286271,0,0.497235623
209,WZ15_FDME210455471-1r,DD3_FDSW220008390-2r,0,0,0.811717564,0,0.188282436
210,YC1_FDME220007405-1r,DD3_FDSW220008390-2r,0,0,0.397684336,0,0.602315664
211,YC3_FDME220007407-1r,DD3_FDSW220008390-2r,0,0,0.563105063,0,0.436894937
212,YC5_FDME220007409-1r,DD3_FDSW220008390-2r,0,0,0.547041602,0,0.452958398
213,YC7_FDME220007411-1a,DD3_FDSW220008390-2r,0.153490079,0,0.129502998,0,0.717006923
214,YC9_FDME220007413-1r,DD3_FDSW220008390-2r,0.15952582,0,0.352191726,0,0.488282454
215,YC11_FDME220007415-1r,DD3_FDSW220008390-2r,0,0,0.736823764,0,0.263176236
216,YC13_FDME220007417-1r,DD3_FDSW220008390-2r,0,0,0.610861391,0,0.389138609
217,YC15_FDME220007419-1r,DD3_FDSW220008390-2r,0,0,0.478837344,0,0.521162656
218,ZH1_FDSW220008784-1r,DD3_FDSW220008390-2r,0,0,0.389259719,0,0.610740281
219,ZH3_FDSW220008786-1r,DD3_FDSW220008390-2r,0,0,0,0,1
220,ZH5_FDSW220008788-1r,DD3_FDSW220008390-2r,0,0,0.363485287,0,0.636514713
221,ZH7_FDSW220008790-1r,DD3_FDSW220008390-2r,0,0,0,0,1
222,ZH9_FDSW220008792-2r,DD3_FDSW220008390-2r,0,0,0,0,1
223,ZH11_FDSW220008794-2r,DD3_FDSW220008390-2r,0,0,0.262867443,0,0.737132557
224,ZH13_FDSW220008796-2r,DD3_FDSW220008390-2r,0,0,0,0,1
225,ZH15_FDSW220008798-2r,DD3_FDSW220008390-2r,0,0,0,0,1
226,C1_FDSW202534412-1r,DD3_FDSW220008390-2r,0.181264215,0,0.301685338,0,0.517050447
