	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_1003_FDSW210423175	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_0215_FDSW210423217	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236
Chlorella sorokiniana	0	15.87244144	7.569951368	5.852760243	11.38279806	10.5045857	3.995940337	12.93162573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.586151019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tieghemostelium lacteum	3.394226521	4.451877532	4.986948498	2.552102395	4.39775689	4.055281611	2.332594087	0	0	0	1.9957192	2.649103688	0	1.448993053	2.884578694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coccomyxa sp. Obi	0	2.778171972	0	0	0	0	0	0	1.849385012	0	0	0	0	0	0	0	2.345427804	2.840123998	0	1.798842032	0	1.817022179	2.470154102	2.758604638	0	0	0	0	2.103472412	0	1.384272186	0	1.378026589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicosporidium sp. ATCC 50920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.600099235	7.565268083	0	26.94071419	16.03152067	5.583245202	0	7.744496459	7.672199256	4.439658658	4.961379286	7.755014028	0	5.962158646	0	0	0	0	0
Chloropicon primus	0	0	0	0	0	0	0	0	0.979630094	0	0.815529451	1.06278842	0.842000088	1.194781635	0.898914209	0	0	2.289032482	1.595655302	1.674564161	0	0.711401201	0.919083952	0.884342606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydomonas incerta	0	0	0	0	0	0	0	0	2.081320966	1.34522108	2.174623136	3.153823458	2.140862021	1.911190203	2.054013802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.928976935	0	0	0	10.00409701	1.75773999	0	0	0	1.975084305	4.09788742	0	0	0	0	0	0
Raphidocelis subcapitata	0	0	0	0	0	0	0.777925917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419430325	0	0.323302124	0	0	0	0	0	0.327222024	0.370845711	0.321128655	0.322526035	0	0	0	0.521229969	0	0	0	0	0	0	0.440884401	0	0.685673288	0	0	0	0	0	0	0	0	0.409904999	0	0.466012854	0	0	0.320394846	0
Dictyostelium purpureum	0	0	0	0	0	0	0	0	9.103423321	0	5.946960997	10.90543009	11.03411071	9.206137813	15.54014655	9.996499064	9.313796157	12.28299977	11.73847618	8.19306825	11.08011662	10.17741065	8.604806062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dicloster acuatus	0	10.15781738	5.839193649	0	0	7.553813181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.522926998	0	5.69157372	0	0	0	0	0	0	0	6.321371451	0	0	7.305934987	0	8.376618219	0	7.413074785	7.002986822	6.965151922	4.127230451	0	0	0	0	6.584884241	0	6.398966181	0	0	0	8.081016833	0	0	0
Scenedesmus quadricauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.967582623	7.883037734	0	0	0	0	6.982059507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21069007	9.163695009	0	6.704587529	29.11608162	35.46637342	15.03634659	7.18296241	6.093360538	0	7.382132561	13.98691714	15.80397393	0	0	0	0	17.15282102	6.687866107	0
Polysphondylium violaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.743802581	0	0	2.183289578	1.307415277	0	0	0	0	0	2.049314826	0	0	0	0	0	0	0	0	0	0	0	0	1.375527537	2.481240279	1.539679051	1.519788104	1.301667316	0	1.639569564	3.307555618	4.172576186	1.517559761	1.045286096	0	2.678445473	1.789501671	0	0	1.960293954	5.588941097
Sexangularia sp. CB-2014	6.58103046	0	0	0	0	1.877873779	6.712568117	0	0	0	0	0	0	1.023031976	0	0	2.000957758	1.928610691	2.004461578	0	1.929506602	1.76879581	2.278017417	0	0	0	1.309719133	0	3.795026337	3.279191579	0	0	0	0	3.862372954	3.646011551	2.349956913	1.972154303	0	0	0	0	0	1.949732029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entamoeba histolytica	0	0	0	0	0	0	0	0	5.338464016	3.441164777	7.86955021	9.723087315	7.782289468	7.074359701	6.642219937	10.04816398	9.064818072	8.311559976	7.974012778	6.198438403	6.909018987	8.558572787	11.94896734	6.358430324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0652318	6.264608406	0	0	0	0
Edaphochlamys debaryana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.568389491	4.949970211	5.351736585	7.015272945	2.568188449	5.57852023	3.329323951	4.002186485	0	0.628117741	0	0	0	0.961849308	0	0.647391884	0	0.929822522	1.278182926	0.67872911	0	0	0.691087458	0	0	0.450214653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.496293377	0	0.565950678	0	0	0	0.545528201	0	0	0
Ostreococcus mediterraneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961252573	2.173478952	1.085392283	0.739610488	0	1.317793688	1.069810857	1.068896661	0	0	1.175028197	1.246489728	0	0	0	0	0	0	0	0	0	0	0.853577425	0	0	0	1.255894081	1.11320736	3.119705112	3.607844015	1.07941304	2.314606695	0	1.174616467	2.985742494	0	0	4.578874187	0	1.139396117	0
Tetradesmus obliquus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.121180279	1.703989847	1.652464764	2.267118611	3.608433867	2.796829217	3.534046767	2.663310622	1.91967588	0	4.021234222	2.44607564	2.102689772	0	1.963729028	1.774496857	0	1.882240851	2.12902684	1.846556059	0	1.668331288	0	1.755991679	0	0	0	0	2.432862936	0	0	0	0	0	0	0	0	0	0	0	2.701240093	0
