	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_1003_FDSW210423175	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_0215_FDSW210423217	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236
Lotharella globosa	1.385779537	0	0.330145917	1.430617525	0.541502683	0.557739201	1.714953122	0.478579946	6.000144756	1.372469778	4.829119287	5.478126014	4.538753956	5.598677548	4.956011621	2.884648769	2.844936114	2.3746372	2.345480896	0.712740581	3.098071054	2.733088525	2.289442661	1.693317494	0	0	0.320658294	0	0.995706147	0.600935017	0.492917408	0	0	0	1.069351572	0.753916363	0.881155299	0	0	0	0	0	0.319899733	0	0	0	0	0	0	0	0	0	0.344421096	0	0	0	0	0	0.324995067	0	0	0	0.544655801	0	0	0
Hafniomonas laevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.856297877	23.6283543	21.11532742	22.35990222	14.52692642	10.11068223	22.0499069	11.6537711	12.38477683	12.9275202	6.631448101	25.51952106	40.00679286	18.3926117	15.73249911	20.78328455	7.248932627	7.827352786	14.70624292	19.76872144	12.99170386	16.40506736	11.11098465	8.760693274	0	5.548571719	0	4.537476516	11.85893838	5.068220082	0	8.628101986	22.17242074	10.27953655	0	0	0	7.096028696	5.679438996	13.39272635	16.83793579	17.24258451
Arcella intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07462	3.606025635	3.419424925	4.287066004	3.568960869	3.620602418	3.803838402	2.913374821	3.459893993	3.321369994	3.396275253	3.446000708	3.392603127	2.575516925	2.835793698	2.828165926	2.738419716	2.550643593	3.062284062	3.970805582	2.754136113	2.167570543	2.612898399	1.954108375	1.98974249	3.001243353	0	1.953321824	5.867062879	2.071065191	2.611628068	0	3.463612378	2.735840614	2.944898624	2.963686415	0	0	2.994600434	2.890789942	2.103693116	1.938350842
Trebouxia sp. A1-2	7.200164732	0	21.38836392	10.16117566	10.4874476	6.251208462	8.822980815	7.838054786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.384656416	5.485084641	0	0	0	6.070324749	12.95618227	0	6.36791032	0	0	5.825381903	10.7232022	9.200785173	9.627382423	6.524331204	5.873245474	8.430283789	0	7.536686769	6.495081317	7.162988468	10.71708372	13.8679096	11.14507325	11.50579632	14.92034399	8.79540371	10.60332223	0	18.2431908	18.50086101	10.67863104	12.44355097	0	5.784420413	13.26649339	13.12622257	11.1492226	7.433209105
Plasmodiophora brassicae	3.425970655	0	2.706700187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21144641	0	0	2.402792038	3.153641189	3.174361897	2.182872811	0	0	0	2.074284534	2.237305695	1.973275479	0	0	3.217655857	2.600825274	2.567080799	2.547882556	2.588414629	3.000901999	3.303853028	1.913610562	3.292120252	2.001680985	3.707541328	2.659355296	2.415519399	6.555112596	3.495658032	3.556225418	2.32631894	7.573746845	4.898860096	4.005070403	5.744594346	5.843463202	3.897713507	4.158175679	0	0	2.891361615	4.836467685	2.541317963	1.855895997
Ostreococcus tauri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.443221537	1.894982554	1.630373084	1.473034037	2.004856865	1.805246789	0	4.026168687	1.931332457	3.866057397	2.57013562	3.694577132	2.371207247	3.117946725	3.926775726	1.862647563	3.480406446	3.935245576	2.889412165	2.792433386	2.094808724	2.3466355	3.474835592	3.735884749	1.974304506	2.095559756	1.124415084	2.081329059	3.262022966	2.980094876	4.338071246	0	3.43594109	3.451690642	4.296810493	4.93625011	3.946510559	3.265303117	3.007614335	6.611947444	4.598949833	4.514162868	4.216883337	0	0	2.786107059	6.630577243	4.867551789	2.429602086
Tetrabaena socialis	0.727463656	0	0	0	0	0.42011641	2.721225259	0	0	0	0.28600847	0	0	0	0.318587922	0	0.341623984	0.496307035	0	0	0.181152538	0.426679532	0.429468501	0	0.482524043	0.956582671	1.325242235	0.354706576	1.914275859	1.022900416	1.04673221	1.582661972	0.472395571	0	1.385845239	2.11890642	1.35853951	0.471083382	0.349113164	0.633468612	0.482649335	0.619697926	0.633901159	0.431278135	0.437566234	0.379286131	0	3.142908623	1.886143966	1.945670557	6.928745545	6.181844628	4.940978909	3.809492203	2.633754235	0	4.135843366	4.322547758	3.350083974	2.553466245	0	0	0.422137297	3.740749432	4.944725898	0
Tetraselmis sp. GSL018	0	0	4.933941775	2.934671969	0	0	0	0	0	0	0	0	0	0	0	0	1.963787718	3.497984444	4.337502997	5.351792553	0	3.179741675	2.417383531	0	2.636760994	2.916346078	2.737267123	3.789029113	2.452077637	6.162521934	2.602621134	3.384514495	2.30551272	3.800470254	6.263376877	2.468330728	2.761104329	4.429998121	3.306488007	6.531307527	3.168101962	6.935322561	4.084277145	3.044914625	5.230793279	3.295137409	4.886402071	4.847086841	0	1.551923639	0	1.578307213	7.147211548	2.920903538	2.422258605	0	6.863810651	3.130522402	6.210497246	2.937834829	1.357815994	0	6.391864458	6.281886338	5.1091771	2.484607252
Planoprotostelium fungivorum	1.710130657	0.713574649	0.861043919	0.838600306	0.567185467	0.4313727	1.60949089	0.412538855	0	0	0	0	0	0	0	0	0	0	0.16593029	0	0.224851489	0	0.20830356	0	0.62957481	0.761815993	0.947874368	0.767279965	1.698240462	1.025037759	1.577595004	0.655873926	0.948716814	0.482516224	1.169593768	0.955707231	0.781004086	0.692317728	0.715341639	0.552058723	0.46620154	0.573541284	0.697431449	0.616416282	0.274177837	0.561270403	0.312306562	0.534137583	0.436762351	0.185097977	0	0.252422333	0.638259198	0.244592089	0.32710524	0	0.744058554	0.473915	0.310200472	0	0	0	0.379523874	0.74675433	1.364033537	0.487913255
Picocystis salinarum	17.67013394	11.3103336	11.92135513	13.01868133	13.33311741	7.433145572	15.92209588	13.94731098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.273797424	10.95211794	7.30697954	9.874112649	11.31290006	12.63487487	11.46689366	9.231238835	8.15452922	8.500725253	12.8706707	11.73929005	9.098072922	7.952480806	8.613942116	10.85932747	11.27454351	8.22426037	9.209253412	8.122600853	7.752457927	8.108282346	10.01449989	6.301067654	5.479410819	4.093738919	2.582648177	2.877967033	6.844125194	2.568174704	4.800461913	5.730668791	6.525598215	7.477424637	4.988733427	4.999229133	3.285786682	2.227030516	9.326787822	7.120387763	6.321163003	5.90364483
Mantoniella antarctica	0	0	0	0	0	0	0	0	0	0	2.50190318	3.204682295	6.692591391	0	0	2.216027831	14.77361007	15.83912163	16.97927256	12.71234658	15.20016121	18.28990996	18.22421207	15.18543905	14.41036725	11.55513356	11.20241534	15.94696315	11.42809414	9.943619147	8.397695356	14.50669394	18.28359619	5.965693196	13.08982257	8.62297569	7.499208746	13.44044804	12.01709315	12.17745688	12.1969114	12.6258538	11.45930342	13.10228351	11.36089352	11.83794907	12.72205679	13.26364893	9.983565144	9.812104531	10.74568624	21.02229669	29.77750828	12.76978409	11.45954672	3.41465228	26.47659654	27.74992053	19.25092833	21.29176986	2.735867863	4.773761258	26.44866866	30.91214688	28.96553097	11.69990778
Amorphochlora amoebiformis	2.056236991	5.908861636	4.384405883	3.272923582	2.174914034	4.60234294	1.544412863	3.324476988	0	0	0	0	0	0	0	0	3.471148185	1.830908326	3.667105597	2.841452931	1.392871982	1.980310376	2.391227567	1.251363506	2.364977781	2.207382166	4.792081442	3.703413889	1.217676279	5.042703714	2.681933967	3.063904558	5.048502303	3.145388386	6.547100737	1.91247718	2.265834209	3.320896232	5.234871693	2.828552695	2.494064704	3.108356241	3.617927838	4.255881986	2.972353672	2.199563	1.60571882	3.71174054	5.437793163	0.677852565	0	3.454797203	3.520362979	3.302285202	3.442405347	1.925828145	5.838960023	5.062550451	3.519426154	1.381097987	1.808560534	3.290063818	6.613668832	4.568693893	3.627850407	4.234493486
Acanthamoeba castellanii	0.895992882	0	0.170796941	0	0.187279569	0	0.366127329	0.185444753	0.850689373	0	0.53693921	0.387884329	1.110541676	0.918415625	0.706936559	0.597221132	1.685582739	2.541502904	1.336671268	1.293884105	1.624900675	1.969679734	1.449622018	0.816966459	1.082372053	1.221985405	1.1055838	1.17735608	0.658565089	1.042374374	0.846909385	1.132542868	1.298847115	2.367113387	1.137631126	0.729419877	1.186626875	1.317059258	1.462502664	1.430795914	1.397249905	1.224542859	0.997437581	1.02724172	1.214596216	1.107098016	1.812920735	0.823254312	1.001377559	0.995901481	0.375272092	0.991251332	1.309351664	1.498615021	1.047499436	1.030851542	1.087844239	0.54003898	0.879521757	0.403915288	1.737246393	0	1.365339984	1.363713955	1.183329894	0.275565284
Vannella robusta	1.788067367	1.425105446	2.680367872	2.111531788	1.961512578	1.656126316	2.422967236	1.210731286	0.249749767	0	0.311441561	0.23330692	0.297754665	0.318151992	0.62565673	0.323858081	0.645443885	0.901047638	0.805510718	0.583033668	0.638298236	0.639184894	0.79493292	0.316054109	0.977041309	1.561717631	1.797442246	1.9774251	1.609506902	1.559359709	1.394124809	1.620281306	2.084602031	1.340113463	2.064604031	1.659453598	2.02621252	1.601027765	1.729662228	1.568438263	1.613854788	1.531032259	1.715264411	1.504310919	1.274561862	1.182403662	1.291919821	1.445357197	1.2827853	1.19983445	0.442102941	1.272265025	1.966846917	1.03472935	1.702731934	0	1.532873344	1.196614227	1.05673338	1.024142825	0.25901354	0.908381613	1.33956422	1.670195628	1.649412014	0.608028867
Pycnococcus provasolii	0	1.132301294	1.704100698	0.910593123	1.329031887	0.968187028	0.687259973	0	3.702211482	1.63124141	3.543413747	3.807819491	3.893958309	3.513241604	2.966481576	2.545669988	2.936651839	3.175325509	3.672695213	4.455092215	1.627186601	2.417604087	2.241608617	6.596753644	1.974529487	1.553262069	2.146621033	1.746198706	1.416018335	2.820749671	2.49383036	1.710237427	2.105337296	1.556986867	2.961325616	1.1141115	0.659096689	1.254787677	1.771054551	1.878863623	1.234017042	2.129310431	0.885163222	1.634811783	1.712565791	1.029559352	1.188897272	1.431779131	1.144867557	0.84103647	0.463466463	0.691888564	1.07674486	1.337049649	1.664872345	1.316927875	0.969327087	1.130741963	1.408109102	0.889591658	1.073032543	1.221102603	2.719866718	1.049168373	0.840706782	1.141223126
Cymbomonas tetramitiformis	1.824728826	1.482424724	1.906172392	1.043398207	1.263626912	0.758641238	1.290649272	0.837988921	0.101517838	0	0.942408712	0.706903924	0.323616384	0.705610374	0.857028504	0.553865173	0.99057226	0.651271378	1.510184526	0.70128019	1.531707341	1.469929506	1.338682146	1.195971134	1.874615006	1.548105686	2.055556522	2.211953488	2.085590762	2.62418292	1.932288297	2.387049252	2.296527759	1.533867196	2.877903179	2.05972622	1.99853157	1.800798469	2.387604269	1.981604563	2.20781938	2.522263257	1.815326137	1.523198337	1.808062126	1.789237979	1.645823747	1.761759216	2.132087222	2.566463317	2.085071467	1.997211672	2.475409335	2.00827915	2.281624648	2.385253149	3.033899771	2.428283844	1.777122726	2.311623993	1.410513445	2.382174119	2.126019865	2.564913414	2.15459031	2.478874834
Ostreobium quekettii	1.943724081	2.477039195	2.868632429	3.902806378	3.327835242	2.882880944	2.21146021	3.142200216	0.626552828	0.210440937	0.591349618	0.807608307	0.655918384	0.550676644	0.448251941	0.301689173	1.170268815	1.409751056	1.317146297	1.068942098	1.339791313	1.59124469	1.191727603	0.918477957	1.602286079	1.398032883	1.552068946	1.668764817	1.406417031	1.758102693	1.654090129	1.97895239	1.826696452	1.99958009	1.884994573	1.461393542	1.055264781	1.668674328	2.100405021	2.031123734	2.146272002	2.193254105	2.039514946	1.594202875	1.770845674	1.895489894	1.878693975	1.374371768	1.70582365	1.86203876	0.916593688	1.813811325	3.130812119	1.778573302	1.848734838	1.804940294	2.391503924	2.885379644	2.17229441	3.274407263	1.804248533	1.404506142	3.96641966	2.487781519	2.220451421	1.686382279
Pleodorina starrii	1.827207346	2.781194097	4.051942365	3.135806063	2.86414557	2.907707769	2.449840402	3.227445134	0.41442691	0.245044468	0.903283125	0.644396034	0.726270405	0.731705929	0.803089308	0.561562792	1.873408855	1.872835668	2.463682781	1.496865112	2.45577389	2.493163498	2.160692483	2.298781206	4.988833108	4.837858151	4.965694956	5.05086857	3.929835969	4.128591592	3.186210947	5.788304135	5.306145635	4.811205023	4.62290563	3.567573459	4.124700752	4.797053157	5.126542103	4.980947754	5.05279917	5.028891073	4.698133684	4.91172605	4.802156148	5.272370101	4.981766985	4.291216654	4.698263744	4.606094577	5.440342667	4.837970536	6.906711624	4.315570139	4.56879735	3.47475216	6.252712943	5.765758372	5.955168939	4.875388869	2.708816519	2.952867259	6.673904917	6.695623642	5.970951287	3.227951735
