,Hes,Hos,DL,HD,DR,
SD_QD_2023_07_80_ultra_bin_11_275,0,5.2999528,5.5455834,6.0840812,83.0703826,SD_QD_2023_07_80_ultra_bin_11_275 83.0703826 6.0840812 5.5455834 5.2999528 0
ZJ_NB_2021_05_15_bin_14_267,1.8011527,0,15.0936599,0.0360231,83.0691643,ZJ_NB_2021_05_15_bin_14_267 83.0691643 0.0360231 15.0936599 0 1.8011527
ZJ_NB_2021_05_15_bin_2_116,0.9746589,0,13.3110554,2.3670287,83.347257,ZJ_NB_2021_05_15_bin_2_116 83.347257 2.3670287 13.3110554 0 0.9746589
ZJ_NB_2021_05_15_bin_21_181,3.962536,4.3227666,40.4538905,0,51.2608069,ZJ_NB_2021_05_15_bin_21_181 51.2608069 0 40.4538905 4.3227666 3.962536
ZJ_NB_2021_05_15_bin_8_FJ_XM_2021_04_15_bin_1_296,14.3757254,3.4820096,3.7804676,1.0446029,77.3171945,ZJ_NB_2021_05_15_bin_8_FJ_XM_2021_04_15_bin_1_296 77.3171945 1.0446029 3.7804676 3.4820096 14.3757254
ZJ_WZ_2021_05_15_bin_1_239,0,1.971831,16.971831,0,81.056338,ZJ_WZ_2021_05_15_bin_1_239 81.056338 0 16.971831 1.971831 0
ZJ_WZ_2021_05_15_bin_12_319,3.9295948,0.6139992,2.5378633,0.1637331,92.7548097,ZJ_WZ_2021_05_15_bin_12_319 92.7548097 0.1637331 2.5378633 0.6139992 3.9295948
ZJ_WZ_2021_05_15_bin_13_38,4.5584046,0.0474834,2.2792023,4.2260209,88.8888889,ZJ_WZ_2021_05_15_bin_13_38 88.8888889 4.2260209 2.2792023 0.0474834 4.5584046
ZJ_WZ_2021_05_15_bin_15_97,1.150112,7.47E-03,4.3017177,10.5899925,83.9507095,ZJ_WZ_2021_05_15_bin_15_97 83.9507095 10.5899925 4.3017177 0.00747 1.150112
ZJ_WZ_2021_05_15_bin_5_214,0.73595,0.0669045,7.9281891,5.028992,86.2399643,ZJ_WZ_2021_05_15_bin_5_214 86.2399643 5.028992 7.9281891 0.0669045 0.73595
