	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r
SD_QD_2020_06_15_bin_26	1.871372865	2.633061602	2.069888248	1.938957013	5.432706336	3.30011013	2.297763175	1.675544189	1.687947746	1.151527572	3.545985204	5.075039092	4.32263313	2.280545785	1.498602264	2.133629091	1.286296821	1.292865768	1.58428787	1.798692812	1.579333577	1.721373787	1.217693796	1.254395031	1.038597279
SD_QD_2020_06_15_bin_13	2.060298588	2.710793145	2.408774782	2.506383645	4.911078179	2.369420401	3.345822696	2.181841686	2.412256352	1.479223606	3.35059851	4.928657441	4.466011299	2.345747878	1.401480054	2.138403843	1.397893039	1.23660529	1.843004839	2.219566057	1.716570242	1.541198324	1.273901307	1.526837308	0
SD_QD_2020_06_15_bin_23	1.621138711	1.870284636	1.535060762	1.236949353	9.689467018	6.355156061	2.324693714	1.30844572	1.154380093	1.420071875	7.841648489	8.835959608	5.092176173	2.800226811	1.626060055	2.423952254	1.390517861	0.975634168	1.267554438	1.682384013	1.468393584	1.128748375	1.218990942	0	0
SD_QD_2020_06_15_bin_29	2.600101959	2.976468944	3.16203768	2.769344415	5.915131953	4.683855427	3.266914554	1.703471801	1.613418097	1.418908532	6.461017532	5.035295539	4.460730199	4.092159931	2.770473109	3.430091823	1.670566228	1.518982549	1.667591922	3.122216546	2.833498966	2.469324959	2.250662643	1.626561449	0
SD_QD_2020_06_15_bin_38	3.13214847	3.632398578	3.462081715	3.710242767	3.060564696	3.263184084	4.201870847	3.021513829	4.037567768	2.388309716	2.784158263	3.290307013	2.613931917	3.507456844	2.753784201	2.98056227	2.142623397	2.24571562	2.88635727	3.530867037	2.426266958	2.415942974	2.199679842	2.836269794	2.362491221
SD_QD_2020_06_15_bin_12	2.816702023	3.695389183	4.618614593	4.156477474	3.641948203	2.86243249	5.017345973	2.994596325	3.659252387	1.958594439	2.442630914	4.368831472	5.278994457	4.226146253	2.938943093	3.633383305	2.165713904	2.035779476	3.027096963	4.10075205	3.398156257	2.501111872	2.229294775	2.94850148	1.022825521
SD_QD_2020_06_15_bin_35	4.307896697	3.512285067	3.763919415	2.881245021	2.235365031	1.159034138	1.827589538	4.309941245	6.437744228	2.592895788	2.004265228	2.10250736	1.878202454	2.818609957	2.515351511	2.32437364	2.484158659	2.886566387	2.93911584	4.189070998	3.379009463	2.583019372	2.444878844	8.292484116	5.984571846
SD_QD_2020_06_15_bin_20	4.067009939	3.213272163	2.876145475	3.067962565	4.190258121	2.129747084	2.616765835	4.161268409	3.296051854	2.085819875	2.762978712	3.802478518	3.498414291	3.359909935	2.876794067	4.00042556	3.542111247	3.810798477	3.867354574	3.358484234	2.6588767	2.864486463	3.205197976	3.968622951	3.997842533
SD_QD_2023_07_40_ultra_bin_9	7.661646475	5.733218845	7.877279687	9.919016885	0.937378504	0	0.752303203	5.952971268	17.15625786	3.641108646	0	1.072201727	1.153389735	5.283807825	2.819653501	1.844152731	0	0.962292286	1.406338518	6.517892598	3.946739859	2.459709725	0.941447823	5.007102108	2.656292389
SD_QD_2020_06_15_bin_40	2.492095624	3.5256109	3.251526211	2.506928781	10.56620525	7.959699272	4.554538633	2.010050313	1.967628918	2.881555493	10.74272868	10.05210917	6.861283143	4.024593265	3.266280116	4.048818466	2.459792887	2.157079839	1.759469204	2.69730166	2.673179751	2.207803816	2.196756775	1.402381684	0
SD_QD_2020_06_15_bin_44	5.761233028	4.743333271	5.287264508	5.84519048	6.270419401	7.240939447	6.726455755	5.453628743	6.187174204	5.059173026	9.152848016	7.154206969	4.791080047	4.674875961	4.730336293	4.666830227	5.079866608	6.084382521	4.495591596	4.533906996	4.608130897	4.339064421	4.82819363	6.352456938	4.650479296
LN_DD_2021_06_15_bin_10	4.385197616	5.066963842	5.786892519	4.03072595	17.9136744	7.119649073	4.291773306	3.313337413	4.845689551	3.349050078	10.89352132	15.47277897	11.2030032	5.610884303	3.223359479	5.490194544	2.910922944	2.92044568	3.571130791	4.766642648	3.882176307	3.488125715	2.80016672	5.149093933	1.303662121
SD_QD_2020_06_15_bin_37	4.949807306	10.91750144	11.06848509	8.470208046	31.46352271	12.29130414	12.2308419	5.944475475	5.467085743	5.10337697	20.22681518	32.59420861	26.27040799	11.51254914	5.709025729	13.83366722	5.28739191	5.146319032	7.214242393	8.849415472	8.321664244	7.70411116	6.783965434	4.634403574	1.327604995
