distv_num,dist_loca_num,Tax
0.535137551,0,Uroviricota
0.418803139,0,Uroviricota
0.622707694,0,Uroviricota
0.72757066,0,Uroviricota
0.659595019,0,Uroviricota
0.355460863,2,Uroviricota
0.520438629,2,Uroviricota
0.579132197,2,Uroviricota
0.528632174,2,Uroviricota
0.354014443,2,Uroviricota
0.329389008,2,Uroviricota
0.332090666,4,Uroviricota
0.427793459,4,Uroviricota
0.675745957,4,Uroviricota
0.329184679,4,Uroviricota
0.317394804,4,Uroviricota
0.345427301,4,Uroviricota
0.503127314,6,Uroviricota
0.500290975,6,Uroviricota
0.543514151,6,Uroviricota
0.654395577,6,Uroviricota
0.610346894,6,Uroviricota
0.513740999,6,Uroviricota
0.744999339,8,Uroviricota
0.802551295,8,Uroviricota
0.65385395,8,Uroviricota
0.53366147,8,Uroviricota
0.378300425,8,Uroviricota
0.338711705,8,Uroviricota
0.728879181,10,Uroviricota
0.719612772,10,Uroviricota
0.53910593,10,Uroviricota
0.601601264,10,Uroviricota
0.647129353,10,Uroviricota
0.585451176,10,Uroviricota
0.407582536,0,Uroviricota
0.707807424,0,Uroviricota
0.582593829,0,Uroviricota
0.672381387,0,Uroviricota
0.476297817,2,Uroviricota
0.676554304,2,Uroviricota
0.618656824,2,Uroviricota
0.652212492,2,Uroviricota
0.647087471,2,Uroviricota
0.605872024,2,Uroviricota
0.538833862,4,Uroviricota
0.555046778,4,Uroviricota
0.666114979,4,Uroviricota
0.615721744,4,Uroviricota
0.600347005,4,Uroviricota
0.50306496,4,Uroviricota
0.648669904,6,Uroviricota
0.743438444,6,Uroviricota
0.802972443,6,Uroviricota
0.682741808,6,Uroviricota
0.694162486,6,Uroviricota
0.695233033,6,Uroviricota
0.386972913,8,Uroviricota
0.499841012,8,Uroviricota
0.394821278,8,Uroviricota
0.639558852,8,Uroviricota
0.643222182,8,Uroviricota
0.599440787,8,Uroviricota
0.581738341,10,Uroviricota
0.674059925,10,Uroviricota
0.519882047,10,Uroviricota
0.539739339,10,Uroviricota
0.56777277,10,Uroviricota
0.526038957,10,Uroviricota
0.595209641,0,Uroviricota
0.573514295,0,Uroviricota
0.545674253,0,Uroviricota
0.316266818,2,Uroviricota
0.455366851,2,Uroviricota
0.549315695,2,Uroviricota
0.452687841,2,Uroviricota
0.361622949,2,Uroviricota
0.314916761,2,Uroviricota
0.3135826,4,Uroviricota
0.366417758,4,Uroviricota
0.462253409,4,Uroviricota
0.304678468,4,Uroviricota
0.300508557,4,Uroviricota
0.316913438,4,Uroviricota
0.448025087,6,Uroviricota
0.401307055,6,Uroviricota
0.404335698,6,Uroviricota
0.425069427,6,Uroviricota
0.437695151,6,Uroviricota
0.425747375,6,Uroviricota
0.370842138,8,Uroviricota
0.457836357,8,Uroviricota
0.327155391,8,Uroviricota
0.434061902,8,Uroviricota
0.356240582,8,Uroviricota
0.311880892,8,Uroviricota
0.366857359,10,Uroviricota
0.43817317,10,Uroviricota
0.393686267,10,Uroviricota
0.369297216,10,Uroviricota
0.398485609,10,Uroviricota
0.415038807,10,Uroviricota
0.728553974,0,Uroviricota
0.742597814,0,Uroviricota
0.459947568,2,Uroviricota
0.669858434,2,Uroviricota
0.716058672,2,Uroviricota
0.661015825,2,Uroviricota
0.531608732,2,Uroviricota
0.476632986,2,Uroviricota
0.456732663,4,Uroviricota
0.529403433,4,Uroviricota
0.702231276,4,Uroviricota
0.465753061,4,Uroviricota
0.456346872,4,Uroviricota
0.480445508,4,Uroviricota
0.654110231,6,Uroviricota
0.618722441,6,Uroviricota
0.637930913,6,Uroviricota
0.674017816,6,Uroviricota
0.671757811,6,Uroviricota
0.649105229,6,Uroviricota
0.457422615,8,Uroviricota
0.572908964,8,Uroviricota
0.468003753,8,Uroviricota
0.61635365,8,Uroviricota
0.535792442,8,Uroviricota
0.469801916,8,Uroviricota
0.599999739,10,Uroviricota
0.719613992,10,Uroviricota
0.479448542,10,Uroviricota
0.490162153,10,Uroviricota
0.549278794,10,Uroviricota
0.50452873,10,Uroviricota
0.861579622,0,Uroviricota
0.484024762,2,Uroviricota
0.711528638,2,Uroviricota
0.797716918,2,Uroviricota
0.700875247,2,Uroviricota
0.516987508,2,Uroviricota
0.469414733,2,Uroviricota
0.469717051,4,Uroviricota
0.570376237,4,Uroviricota
0.752703795,4,Uroviricota
0.458013938,4,Uroviricota
0.448421036,4,Uroviricota
0.478424657,4,Uroviricota
0.681254288,6,Uroviricota
0.627278901,6,Uroviricota
0.632159105,6,Uroviricota
0.733504121,6,Uroviricota
0.727353375,6,Uroviricota
0.679479593,6,Uroviricota
0.541178035,8,Uroviricota
0.733463931,8,Uroviricota
0.500651796,8,Uroviricota
0.689730543,8,Uroviricota
0.536189984,8,Uroviricota
0.470008322,8,Uroviricota
0.646121468,10,Uroviricota
0.708523282,10,Uroviricota
0.634765736,10,Uroviricota
0.629868154,10,Uroviricota
0.676477095,10,Uroviricota
0.650791582,10,Uroviricota
0.555829373,2,Uroviricota
0.782943651,2,Uroviricota
0.859367949,2,Uroviricota
0.735594807,2,Uroviricota
0.595994097,2,Uroviricota
0.536922201,2,Uroviricota
0.535900933,4,Uroviricota
0.636451077,4,Uroviricota
