from,to,number,lineage
3,23,12,Known
3,13,3,Known
1,13,1,Known
2,18,1,Unknown
2,23,1,Unknown
4,23,3,Known
5,13,4,Known
5,10,5,Known
5,12,4,Known
5,11,4,Known
5,26,1,Unknown
6,13,2,Unknown
6,15,7,Unknown
6,18,6,Unknown
6,23,1,Unknown
6,12,1,Unknown
6,21,4,Unknown
6,27,2,Unknown
7,13,1,Unknown
8,18,9,Unknown
8,21,2,Unknown
9,18,4,Unknown
9,27,1,Unknown
