Sample,PCoA1,PCoA2,Site,Tax
CXD_1412_FDSW210423229-1r,-0.20166517,0.034469491,QD,Nucleocytoviricota
CXD_1414_FDSW210423231-1r,-0.18105736,0.167364577,QD,Nucleocytoviricota
CXD_1604_FDSW210423236-1r,-0.2176771,0.100289776,QD,Nucleocytoviricota
CXD_1609_FDSW210423241-1r,-0.24299795,0.025286553,QD,Nucleocytoviricota
CXD_1610_FDSW210423242-1r,-0.2641181,0.087909871,QD,Nucleocytoviricota
CXD_1611_FDSW210423243-1r,-0.23950155,0.143200556,QD,Nucleocytoviricota
CXD_1612_FDSW210423244-1r,-0.25462849,0.085193911,QD,Nucleocytoviricota
CXD_1613_FDSW210423245-1r,-0.30219805,0.025725688,QD,Nucleocytoviricota
DD1_FDSW220008388-1r,-0.35782726,-0.064385962,DD,Nucleocytoviricota
DD11_FDSW220008398-1r,-0.37491971,-0.071178262,DD,Nucleocytoviricota
DD13_FDSW220008400-2r,-0.38134272,-0.082896088,DD,Nucleocytoviricota
DD15_FDSW220008402-2r,-0.34738581,-0.082861297,DD,Nucleocytoviricota
DD3_FDSW220008390-2r,-0.32761975,-0.074241783,DD,Nucleocytoviricota
DD5_FDSW220008392-2r,-0.38634556,-0.064568431,DD,Nucleocytoviricota
DD7_FDSW220008394-1r,-0.37469529,-0.072691828,DD,Nucleocytoviricota
DD9_FDSW220008396-1r,-0.37942319,-0.069919722,DD,Nucleocytoviricota
DY10_FDME210438608-1r,-0.12146187,-0.034512986,DY,Nucleocytoviricota
DY11_FDME210438609-1r,-0.11618401,-0.032285171,DY,Nucleocytoviricota
DY13_FDME210438611-1b,-0.12147674,-0.03451927,DY,Nucleocytoviricota
DY15_FDME210438613-1r,-0.12118595,-0.034398823,DY,Nucleocytoviricota
DY2_FDME210438600-1b,-0.12156977,-0.034556864,DY,Nucleocytoviricota
DY6_FDME210438604-1r,-0.12094209,-0.034283835,DY,Nucleocytoviricota
DY7_FDME210438605-1r,-0.1211921,-0.034400479,DY,Nucleocytoviricota
LYG1_FDME210455382-1r,-0.29949835,-0.083098403,LYG,Nucleocytoviricota
LYG11_FDME210455392-2r,-0.3370644,-0.079980476,LYG,Nucleocytoviricota
LYG13_FDME210455394-1a,-0.22770356,-0.058612764,LYG,Nucleocytoviricota
LYG3_FDME210455384-1r,-0.33857132,-0.057600969,LYG,Nucleocytoviricota
LYG5_FDME210455386-1r,-0.39025667,-0.080310179,LYG,Nucleocytoviricota
LYG6_FDME210455387-1r,-0.32588373,-0.057583504,LYG,Nucleocytoviricota
LYG7_FDME210455388-1r,-0.28351378,-0.054260687,LYG,Nucleocytoviricota
NB1_FDME210455352-1r,0.46752981,0.138090054,NB,Nucleocytoviricota
NB11_FDME210455362-1b,0.46326673,0.114308824,NB,Nucleocytoviricota
NB12_FDME210455363-1r,0.46838805,0.104389515,NB,Nucleocytoviricota
NB15_FDME210455366-1r,0.4859926,-0.003496685,NB,Nucleocytoviricota
NB2_FDME210455353-1r,0.4202154,-0.061549298,NB,Nucleocytoviricota
NB4_FDME210455355-1r,0.45402902,0.145781756,NB,Nucleocytoviricota
NB6_FDME210455357-1r,0.45540091,0.154660228,NB,Nucleocytoviricota
NB7_FDME210455358-1r,0.46749099,0.13830343,NB,Nucleocytoviricota
SY11_FDME210455407-1r,-0.21155791,-0.090924948,SY,Nucleocytoviricota
SY12_FDME210455408-1r,-0.20774146,-0.090087885,SY,Nucleocytoviricota
SY13_FDME210455409-2a,-0.20930891,-0.090928687,SY,Nucleocytoviricota
SY15_FDME210455411-2a,-0.21503114,-0.093749975,SY,Nucleocytoviricota
SY3_FDME210455399-2a,-0.23503367,-0.088343454,SY,Nucleocytoviricota
SY7_FDME210455403-2a,-0.2049055,-0.087466272,SY,Nucleocytoviricota
SY9_FDME210455405-2a,-0.2130213,-0.092858803,SY,Nucleocytoviricota
WZ1_L1,0.45089018,-0.191542826,WZ,Nucleocytoviricota
WZ10_L1,0.45352913,-0.170046776,WZ,Nucleocytoviricota
WZ11_L1,0.40304015,-0.169249935,WZ,Nucleocytoviricota
WZ14_L1,0.46407148,-0.179514495,WZ,Nucleocytoviricota
WZ15_FDME210455471-1r,0.42152787,-0.091300645,WZ,Nucleocytoviricota
WZ3_L1,0.45606002,-0.18375146,WZ,Nucleocytoviricota
WZ5_L1,0.45252225,-0.171278632,WZ,Nucleocytoviricota
WZ7_FDME210455463-1r,0.42960065,-0.188535549,WZ,Nucleocytoviricota
YC1_FDME220007405-1r,0.17605877,-0.347258353,YC,Nucleocytoviricota
YC11_FDME220007415-1r,0.1891368,-0.330604051,YC,Nucleocytoviricota
YC13_FDME220007417-1r,0.1830952,-0.352874868,YC,Nucleocytoviricota
YC15_FDME220007419-1r,0.19050307,-0.355586861,YC,Nucleocytoviricota
YC3_FDME220007407-1r,0.17212771,-0.346614536,YC,Nucleocytoviricota
YC5_FDME220007409-1r,0.16862429,-0.34805097,YC,Nucleocytoviricota
YC7_FDME220007411-1a,0.1741466,-0.347844877,YC,Nucleocytoviricota
YC9_FDME220007413-1r,0.22896417,-0.353386678,YC,Nucleocytoviricota
ZH1_FDSW220008784-1r,0.09079663,0.576681728,ZH,Nucleocytoviricota
ZH11_FDSW220008794-2r,0.08558513,0.58338306,ZH,Nucleocytoviricota
ZH13_FDSW220008796-2r,0.0885804,0.586406441,ZH,Nucleocytoviricota
ZH15_FDSW220008798-2r,0.08814121,0.586194193,ZH,Nucleocytoviricota
ZH3_FDSW220008786-1r,0.0660865,0.576460403,ZH,Nucleocytoviricota
ZH5_FDSW220008788-1r,0.09108546,0.583055877,ZH,Nucleocytoviricota
ZH7_FDSW220008790-1r,0.08674445,0.584341568,ZH,Nucleocytoviricota
ZH9_FDSW220008792-2r,0.08327568,0.578497803,ZH,Nucleocytoviricota
BH10_FDSW220017130-1r,0.253736303,-0.363242333,BH,Uroviricota
BH12_FDSW220017132-1r,0.255233447,-0.365462632,BH,Uroviricota
BH14_FDSW220017134-1r,0.251806114,-0.360378725,BH,Uroviricota
BH15_FDSW220017135-1r,0.253261874,-0.362538042,BH,Uroviricota
BH2_FDSW220017122-1r,0.254068695,-0.36373535,BH,Uroviricota
BH4_FDSW220017124-1r,0.254166347,-0.363880226,BH,Uroviricota
BH6_FDSW220017126-1r,0.255207894,-0.365424801,BH,Uroviricota
BH8_FDSW220017128-1r,0.254296439,-0.36407288,BH,Uroviricota
CXD_1412_FDSW210423229-1r,-0.206392494,-0.02266859,QD,Uroviricota
CXD_1414_FDSW210423231-1r,-0.213501879,-0.053292514,QD,Uroviricota
CXD_1604_FDSW210423236-1r,-0.113894203,0.046744182,QD,Uroviricota
CXD_1609_FDSW210423241-1r,-0.181357009,0.021297452,QD,Uroviricota
CXD_1610_FDSW210423242-1r,-0.167626719,-0.005538583,QD,Uroviricota
CXD_1611_FDSW210423243-1r,-0.155455384,0.005879376,QD,Uroviricota
CXD_1612_FDSW210423244-1r,-0.163051173,-0.004732954,QD,Uroviricota
CXD_1613_FDSW210423245-1r,-0.17031496,0.002097997,QD,Uroviricota
DD1_FDSW220008388-1r,0.386429157,0.327548914,DD,Uroviricota
DD13_FDSW220008400-2r,0.394928525,0.273568961,DD,Uroviricota
DD3_FDSW220008390-2r,0.381016257,0.212957826,DD,Uroviricota
DD5_FDSW220008392-2r,0.393334951,0.307763452,DD,Uroviricota
DD7_FDSW220008394-1r,0.384548986,0.223540452,DD,Uroviricota
DD9_FDSW220008396-1r,0.38761912,0.234102571,DD,Uroviricota
DY10_FDME210438608-1r,0.217614584,-0.307388661,DY,Uroviricota
DY11_FDME210438609-1r,0.217151492,-0.306710982,DY,Uroviricota
DY13_FDME210438611-1b,0.217804782,-0.307666996,DY,Uroviricota
DY15_FDME210438613-1r,0.217806539,-0.307669569,DY,Uroviricota
DY2_FDME210438600-1b,0.217636261,-0.307420386,DY,Uroviricota
DY6_FDME210438604-1r,0.217122647,-0.306668764,DY,Uroviricota
DY7_FDME210438605-1r,0.217807217,-0.307670561,DY,Uroviricota
LYG1_FDME210455382-1r,-0.247698777,0.052249673,LYG,Uroviricota
LYG11_FDME210455392-2r,-0.011171231,0.089256817,LYG,Uroviricota
LYG13_FDME210455394-1a,-0.099050614,0.147809911,LYG,Uroviricota
LYG3_FDME210455384-1r,-0.361888126,-0.099456793,LYG,Uroviricota
LYG5_FDME210455386-1r,-0.056709501,0.026186912,LYG,Uroviricota
LYG6_FDME210455387-1r,-0.163216318,0.009816734,LYG,Uroviricota
LYG7_FDME210455388-1r,-0.010348837,0.12474336,LYG,Uroviricota
NB1_FDME210455352-1r,-0.464842469,0.010269918,NB,Uroviricota
NB11_FDME210455362-1b,-0.47756811,-0.003532536,NB,Uroviricota
NB12_FDME210455363-1r,-0.47763966,-0.005885841,NB,Uroviricota
NB15_FDME210455366-1r,-0.477722952,-0.005590249,NB,Uroviricota
NB2_FDME210455353-1r,-0.392380378,0.069291408,NB,Uroviricota
NB4_FDME210455355-1r,-0.469857846,0.008941352,NB,Uroviricota
NB6_FDME210455357-1r,-0.473720333,-0.003513965,NB,Uroviricota
NB7_FDME210455358-1r,-0.454829687,-0.002267609,NB,Uroviricota
ST1_FDME220007465-1r,0.023286176,0.299991573,ST,Uroviricota
ST10_L1,0.232066213,0.407417456,ST,Uroviricota
ST12_L1,0.289287018,0.367166909,ST,Uroviricota
ST13_L1,0.382893401,0.211220121,ST,Uroviricota
ST15_L1,0.377797469,0.202182076,ST,Uroviricota
ST3_L1,0.300708315,0.389542653,ST,Uroviricota
ST7_FDME220007471-1r,0.228117521,0.402689733,ST,Uroviricota
ST9_L1,0.388150014,0.239948632,ST,Uroviricota
SY11_FDME210455407-1r,0.091631502,-0.282782432,SY,Uroviricota
SY12_FDME210455408-1r,0.024293217,-0.271701812,SY,Uroviricota
SY13_FDME210455409-2a,0.161045529,-0.284901666,SY,Uroviricota
SY15_FDME210455411-2a,0.159667237,-0.282208632,SY,Uroviricota
SY3_FDME210455399-2a,0.160972096,-0.285509473,SY,Uroviricota
SY7_FDME210455403-2a,0.15596215,-0.266969306,SY,Uroviricota
SY9_FDME210455405-2a,0.04446931,-0.27678446,SY,Uroviricota
WZ1_L1,-0.445449816,0.040455337,WZ,Uroviricota
WZ10_L1,-0.441987315,0.041359855,WZ,Uroviricota
WZ11_L1,-0.430085041,0.034703551,WZ,Uroviricota
WZ14_L1,-0.452642341,0.037104798,WZ,Uroviricota
WZ15_FDME210455471-1r,-0.473492469,-0.003829867,WZ,Uroviricota
WZ3_L1,-0.447812195,0.044869102,WZ,Uroviricota
WZ5_L1,-0.446512473,0.027646691,WZ,Uroviricota
WZ7_FDME210455463-1r,-0.453994723,0.041258825,WZ,Uroviricota
XM10_FDME220007444-1r,0.137884013,0.432760512,XM,Uroviricota
XM12_FDME220007446-1r,0.03046951,0.354458388,XM,Uroviricota
XM14_FDME220007448-1r,0.146330593,0.433161998,XM,Uroviricota
XM15_FDME220007449-1r,0.108849573,0.409138301,XM,Uroviricota
XM2_FDME220007436-1r,0.106190118,0.409597892,XM,Uroviricota
XM4_FDME220007438-1r,0.151352329,0.437837498,XM,Uroviricota
XM6_FDME220007440-1r,0.186368407,0.446328664,XM,Uroviricota
XM8_FDME220007442-1r,0.18390063,0.447689513,XM,Uroviricota
YC1_FDME220007405-1r,-0.09215576,0.212700411,YC,Uroviricota
YC11_FDME220007415-1r,-0.112363695,0.196055648,YC,Uroviricota
YC13_FDME220007417-1r,-0.092455224,0.213495131,YC,Uroviricota
YC15_FDME220007419-1r,-0.078101005,0.21150448,YC,Uroviricota
YC3_FDME220007407-1r,-0.085189151,0.202353223,YC,Uroviricota
YC5_FDME220007409-1r,-0.000161188,0.204220821,YC,Uroviricota
YC7_FDME220007411-1a,-0.071946098,0.202009316,YC,Uroviricota
YC9_FDME220007413-1r,0.002925924,0.212089746,YC,Uroviricota
ZH1_FDSW220008784-1r,0.020225557,-0.34480022,ZH,Uroviricota
ZH11_FDSW220008794-2r,0.022334957,-0.349326214,ZH,Uroviricota
ZH13_FDSW220008796-2r,0.022346937,-0.349323393,ZH,Uroviricota
ZH15_FDSW220008798-2r,0.022874323,-0.348926493,ZH,Uroviricota
ZH3_FDSW220008786-1r,0.023077562,-0.348631854,ZH,Uroviricota
ZH5_FDSW220008788-1r,0.020853638,-0.347587778,ZH,Uroviricota
ZH7_FDSW220008790-1r,0.022253293,-0.349338114,ZH,Uroviricota
ZH9_FDSW220008792-2r,0.023404988,-0.34799386,ZH,Uroviricota
