	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
SD_QD_2020_12_15_bin_3	1.520931383	2.614269517	1.344826717	3.303098509	2.174581901	4.618499193	4.244108982	3.38928274	2.163893818	0.95238859	3.3564881	7.405789932	3.033530353	3.433438488	5.194180096	5.465637118	9.656966123	4.187032685	2.176349329	4.333465341	7.37044115	6.084941885	4.842828033	2.608605133	4.773906933	6.350240871	5.391392241	5.380888848	9.192381161	2.677951745	4.422795588	5.290408428	7.111266366	7.251597614	6.873837524	3.215104516	3.967940683	5.359186714	2.596695722	2.434899495	0.863097151	3.623764182	5.296317791	3.421081165	3.32577978
SD_QD_2023_07_60_ultra_bin_2	0	3.15837088	0	1.499725149	0	2.234704387	1.565186277	0.977424503	0	1.232751987	0.880802416	9.732825743	4.359892408	2.546239609	5.67397867	7.872300769	14.45723081	2.456991558	6.899292691	9.712911087	7.239926802	14.47786381	9.991585017	0	8.292024906	9.290724147	2.715430099	3.063394211	10.68581488	3.99474697	4.318910056	7.748823891	6.380972904	3.262628734	7.287461296	2.851066945	1.933792091	6.53710482	1.636378013	0.905740936	0	2.682510525	0.953803277	4.00228445	2.027791681
SD_QD_2023_07_60_ultra_bin_18	2.164970961	6.387001146	5.487688296	4.827824286	4.798446602	6.907150047	5.80458954	4.488037045	4.7567702	5.817581466	7.654486632	7.217745007	5.162205171	7.226312134	6.869085691	7.896875229	13.2458798	5.323588541	10.00474007	10.14858627	5.62849273	9.83593547	6.754794603	4.711602793	7.963115012	8.308567127	6.237296392	4.257861651	8.589842241	4.325117237	7.102300333	6.791540567	6.530483992	3.863540964	6.866868158	3.278794798	3.141676837	4.798797196	3.078604381	4.493758213	2.769817047	2.498172889	3.400531135	4.784424461	3.190045402
SD_QD_2023_07_60_ultra_bin_19	0	3.881493394	2.748050033	4.759648654	3.050354745	5.572191515	8.882457913	5.192576601	3.369689954	0	4.492481717	5.665994835	3.363008605	7.094524956	6.935433492	14.83737907	14.76151526	5.609785998	2.26937196	8.247670048	7.656099694	10.6555888	8.629113879	3.561503519	10.45771771	11.37114397	7.967268561	3.043306606	9.823722182	4.538592606	8.200505332	7.552977037	7.916159803	6.409669847	8.230177111	3.590737741	2.140088932	6.092653399	1.462911457	4.531321992	2.109484175	3.236313068	10.68748311	4.983244659	3.323146162
SD_QD_2023_07_60_normal_bin_21	0	4.245494828	8.575686185	8.384221193	11.4240467	9.748921351	9.699556299	7.764707584	11.52354036	2.848285777	11.0095111	10.18564345	5.697840508	8.893664991	5.788150336	5.211877678	10.06299846	4.196520556	6.621326125	12.13981746	5.823242313	10.14135143	6.874953796	9.362817565	6.956086239	6.963144968	5.318341391	2.210481732	4.16474819	4.971739671	5.018257378	4.298550098	3.847386954	2.890694717	2.758880729	2.814111618	1.712720702	1.070707516	2.628290362	11.96541204	4.560967853	1.386022415	4.586881802	2.30414939	3.035633379
SD_QD_2023_07_60_ultra_bin_3	0	4.135473662	1.798480339	2.073484733	1.706991982	4.94263352	2.833236236	1.549705105	1.95862083	2.693080227	1.462708377	5.322686884	4.093869153	5.789977268	11.5276234	6.896098459	7.935514535	8.292787024	4.367986732	13.06632579	11.97534022	8.936939618	8.792069784	1.84351342	7.881291486	11.32007201	7.010399274	6.560806923	17.23567581	7.522998369	5.962675991	16.33211306	11.33255188	4.515687612	11.916519	8.594326875	4.230475955	6.727547812	2.401349679	2.602965725	1.952059429	3.747683913	1.191140087	4.641684112	4.613533678
SD_QD_2023_07_40_ultra_bin_10	0.934534292	6.471189728	3.432337685	4.919127875	3.265095012	7.449666441	8.227859459	3.34667823	3.261673389	5.984139837	3.426241003	8.228423906	5.478215791	9.038085511	9.201133716	12.57149197	8.129467789	6.171919758	5.18820314	10.95007034	7.598068989	12.17250917	9.869571221	4.060243538	7.609620096	10.47973667	7.268855195	3.211240642	10.72125163	5.562513794	18.41526215	9.503310395	9.5645754	6.83606037	8.873114994	3.387859511	5.049452753	7.764803873	3.339369014	4.424828283	2.216856621	5.263027144	3.503313686	5.150253518	4.74742717
SD_QD_2023_07_40_normal_bin_12	4.996609472	5.505160177	9.427214156	6.870327016	6.673491997	6.617144577	7.643579837	6.575104147	5.251079006	3.982074076	7.401646283	9.43868427	7.491842957	7.879933814	8.874716407	9.698778	17.68660511	5.684816652	7.057184393	10.54703491	7.561561041	12.17362039	8.972384071	6.21580577	9.303884965	10.20879405	6.249810046	3.204747033	10.46274554	6.336235642	6.064380432	9.140682606	7.02710006	5.054266046	8.078895889	4.584537213	2.877817564	7.391048806	3.990889531	6.250688478	3.431558853	3.888344169	4.189950086	5.675385543	4.626460424
SD_QD_2023_07_100_ultra_bin_12	2.578527101	11.73155377	11.04326997	10.01342225	8.870124808	13.47420473	17.28113618	10.17285584	12.3770703	7.243659524	11.44836256	20.41427726	10.65845354	15.60007882	13.42730912	23.83063881	26.14419509	10.19765561	10.44157581	15.475245	14.48873121	23.56100431	15.24398243	7.958360302	14.99006454	17.66920931	13.19651573	5.670203729	15.02248551	8.599399407	17.95560511	12.79661549	13.06041797	8.813331332	11.52178524	5.545158162	4.824876604	9.876621716	5.944329637	8.719777362	6.675271478	4.841769669	8.52619989	7.44409291	5.790244202
SD_QD_2023_07_40_ultra_bin_11	8.140302567	15.86637081	22.74639678	16.80648887	18.35378849	22.70800689	27.33268795	19.96250322	19.63888144	11.90631645	17.1359465	18.06513111	15.99179058	22.46970084	13.59761224	25.58136639	29.77338686	13.51978708	6.25550742	11.71799294	10.80270829	16.31353052	12.93999581	17.41185219	13.54238683	12.69864681	17.64733883	3.07751213	11.7617849	11.41494802	28.83963141	9.546560165	13.56927573	11.26259495	12.24827216	7.062322483	4.658465299	10.182789	12.50868031	13.42414574	14.12814352	9.992246355	19.69399268	11.51725821	11.91966005
SD_QD_2023_07_40_ultra_bin_1	3.747053438	24.39736945	6.135039044	8.807927099	7.88653808	23.19645694	21.58186423	7.361871418	6.275645129	22.08529343	5.784602493	22.776327	11.8142489	23.60029762	21.21748072	33.88392081	25.73199186	16.56353614	17.06542755	29.29120968	21.35403831	27.05271506	21.35085153	8.086664372	17.74815411	21.19371386	19.26884423	8.703267929	23.40611568	11.1969388	51.33959626	22.34545535	22.20879347	13.94049949	17.78569154	14.26380571	18.57820086	11.38490114	7.989855316	8.686618888	8.070299652	16.44205912	6.053267133	9.452954213	11.31884823
