distv_num,dist_loca_num,Tax
0.382740269,0,Nucleocytoviricota
0.53368854,0,Nucleocytoviricota
0.468869358,0,Nucleocytoviricota
0.508879674,0,Nucleocytoviricota
0.288502129,0,Nucleocytoviricota
0.272357058,0,Nucleocytoviricota
0.463133962,0,Nucleocytoviricota
0.482658944,0,Nucleocytoviricota
0.482164071,0.2,Nucleocytoviricota
0.571096458,0.2,Nucleocytoviricota
0.279312482,0.2,Nucleocytoviricota
0.355948109,0.2,Nucleocytoviricota
0.277245097,0.2,Nucleocytoviricota
0.242420636,0.2,Nucleocytoviricota
0.213289198,0.2,Nucleocytoviricota
0.29856994,0.2,Nucleocytoviricota
0.340248502,0.2,Nucleocytoviricota
0.385773189,0.4,Nucleocytoviricota
0.2564325,0.4,Nucleocytoviricota
0.285750957,0.4,Nucleocytoviricota
0.243355304,0.4,Nucleocytoviricota
0.31442343,0.4,Nucleocytoviricota
0.537181715,0.4,Nucleocytoviricota
0.324200905,0.4,Nucleocytoviricota
0.244437614,0.4,Nucleocytoviricota
0.33533825,0.4,Nucleocytoviricota
0.36189288,0.6,Nucleocytoviricota
0.260631821,0.6,Nucleocytoviricota
0.373992887,0.6,Nucleocytoviricota
0.182428453,0.6,Nucleocytoviricota
0.25246075,0.6,Nucleocytoviricota
0.255554091,0.6,Nucleocytoviricota
0.33596444,0.6,Nucleocytoviricota
0.242882315,0.6,Nucleocytoviricota
0.427168807,0.6,Nucleocytoviricota
0.477205221,0.8,Nucleocytoviricota
0.365837054,0.8,Nucleocytoviricota
0.482843498,0.8,Nucleocytoviricota
0.493237445,0.8,Nucleocytoviricota
0.496670101,0.8,Nucleocytoviricota
0.43332985,0.8,Nucleocytoviricota
0.48710579,0.8,Nucleocytoviricota
0.401824916,0.8,Nucleocytoviricota
0.416289918,0.8,Nucleocytoviricota
0.570711158,0,Nucleocytoviricota
0.710696355,0,Nucleocytoviricota
0.662030314,0,Nucleocytoviricota
0.761750544,0,Nucleocytoviricota
0.760505956,0,Nucleocytoviricota
0.653900282,0,Nucleocytoviricota
0.59623213,0,Nucleocytoviricota
0.835766575,0.2,Nucleocytoviricota
0.732855368,0.2,Nucleocytoviricota
0.800980466,0.2,Nucleocytoviricota
0.809525173,0.2,Nucleocytoviricota
0.79300909,0.2,Nucleocytoviricota
0.724506933,0.2,Nucleocytoviricota
0.675503354,0.2,Nucleocytoviricota
0.78997822,0.2,Nucleocytoviricota
0.852187672,0.2,Nucleocytoviricota
0.775436711,0.4,Nucleocytoviricota
0.701398981,0.4,Nucleocytoviricota
0.740679769,0.4,Nucleocytoviricota
0.703566057,0.4,Nucleocytoviricota
0.789294419,0.4,Nucleocytoviricota
0.664966042,0.4,Nucleocytoviricota
0.728782056,0.4,Nucleocytoviricota
0.682674888,0.4,Nucleocytoviricota
0.859995754,0.4,Nucleocytoviricota
0.754710721,0.6,Nucleocytoviricota
0.678290853,0.6,Nucleocytoviricota
0.748887549,0.6,Nucleocytoviricota
0.598711219,0.6,Nucleocytoviricota
0.687776619,0.6,Nucleocytoviricota
0.72308781,0.6,Nucleocytoviricota
0.765038562,0.6,Nucleocytoviricota
0.696412372,0.6,Nucleocytoviricota
0.665959784,0.6,Nucleocytoviricota
